TimeStamp,VarDate,Temperature,RelativeHumidity,COtwo,SensibleHeat
0:00,7-29-2015,20.6,65.0,0.0,0.0
0:05,7-29-2015,20.5,65.3,0.0,0.0
0:10,7-29-2015,20.3,65.5,0.0,0.0
0:15,7-29-2015,20.2,65.6,0.0,0.0
0:20,7-29-2015,20.0,65.6,0.0,0.0
0:25,7-29-2015,19.9,65.6,0.0,0.0
0:30,7-29-2015,19.7,65.5,0.0,0.0
0:35,7-29-2015,19.5,65.4,0.0,0.0
0:40,7-29-2015,19.4,65.3,0.0,0.0
0:45,7-29-2015,19.2,65.2,0.0,0.0
0:50,7-29-2015,19.0,65.1,0.0,0.0
0:55,7-29-2015,18.9,65.0,0.0,0.0
1:00,7-29-2015,18.7,64.8,0.0,0.0
1:05,7-29-2015,18.6,64.5,0.0,0.0
1:10,7-29-2015,18.6,64.1,0.0,0.0
1:15,7-29-2015,18.5,63.7,0.0,0.0
1:20,7-29-2015,18.4,63.4,0.0,0.0
1:25,7-29-2015,18.3,63.0,0.0,0.0
1:30,7-29-2015,18.2,62.7,0.0,0.0
1:35,7-29-2015,18.1,62.4,0.0,0.0
1:40,7-29-2015,18.1,62.0,0.0,0.0
1:45,7-29-2015,18.0,61.7,0.0,0.0
1:50,7-29-2015,17.9,61.3,0.0,0.0
1:55,7-29-2015,17.8,61.0,0.0,0.0
2:00,7-29-2015,17.8,60.7,0.0,0.0
2:05,7-29-2015,17.7,60.6,0.0,0.0
2:10,7-29-2015,17.7,60.5,0.0,0.0
2:15,7-29-2015,17.6,60.5,0.0,0.0
2:20,7-29-2015,17.6,60.5,0.0,0.0
2:25,7-29-2015,17.6,60.6,0.0,0.0
2:30,7-29-2015,17.6,60.7,0.0,0.0
2:35,7-29-2015,17.5,60.8,0.0,0.0
2:40,7-29-2015,17.5,60.9,0.0,0.0
2:45,7-29-2015,17.5,61.0,0.0,0.0
2:50,7-29-2015,17.4,61.1,0.0,0.0
2:55,7-29-2015,17.4,61.2,0.0,0.0
3:00,7-29-2015,17.5,60.7,0.0,0.0
3:05,7-29-2015,17.6,60.1,0.0,0.0
3:10,7-29-2015,17.6,59.8,0.0,0.0
3:15,7-29-2015,17.6,59.7,0.0,0.0
3:20,7-29-2015,17.5,59.7,0.0,0.0
3:25,7-29-2015,17.4,59.6,0.0,0.0
3:30,7-29-2015,17.3,59.5,0.0,0.0
3:35,7-29-2015,17.2,59.4,0.0,0.0
3:40,7-29-2015,17.1,59.3,0.0,0.0
3:45,7-29-2015,17.0,59.2,0.0,0.0
3:50,7-29-2015,16.8,59.1,0.0,0.0
3:55,7-29-2015,16.7,59.0,0.0,0.0
4:00,7-29-2015,20.6,46.5,0.0,0.0
